site=clientservices.googleapis.com,rank=15,r_time=0.06693814302968891,r_time_1=na,r_time_eq2=0.00028872527060443094,case=2,label=fg,r_bg=0.6459907030910432,r_np=0.750812647760483
site=google.com,rank=1,r_time=0.2855113636599444,r_time_1=0.33408577877213236,r_time_eq2=na,case=1,label=bg,r_bg=0.6459907030910432,r_np=0.750812647760483
site=www.google.com,rank=2,r_time=0.35125818682498905,r_time_1=0.4553920345814506,r_time_eq2=na,case=1,label=bg,r_bg=0.6459907030910432,r_np=0.750812647760483
site=microsoft.com,rank=3,r_time=0.3356937602653773,r_time_1=0.5190970732139163,r_time_eq2=na,case=1,label=bg,r_bg=0.6459907030910432,r_np=0.750812647760483
site=microsoft.com,rank=3,r_time=0.36130359459287603,r_time_1=0.6024523713124443,r_time_eq2=na,case=1,label=bg,r_bg=0.6459907030910432,r_np=0.750812647760483
site=data.microsoft.com,rank=4,r_time=0.4778369946632381,r_time_1=0.6299605235890876,r_time_eq2=na,case=1,label=bg,r_bg=0.6459907030910432,r_np=0.750812647760483
site=data.microsoft.com,rank=4,r_time=0.41893678921248684,r_time_1=0.27839291365099694,r_time_eq2=na,case=1,label=bg,r_bg=0.6459907030910432,r_np=0.750812647760483
site=live.com,rank=6,r_time=0.4334336955014402,r_time_1=0.6697324414953826,r_time_eq2=na,case=1,label=bg,r_bg=0.6459907030910432,r_np=0.750812647760483
site=live.com,rank=6,r_time=0.4100164411242281,r_time_1=0.5974052932141887,r_time_eq2=na,case=1,label=bg,r_bg=0.6459907030910432,r_np=0.750812647760483
site=windowsupdate.com,rank=7,r_time=0.446186553286723,r_time_1=0.5407342657554336,r_time_eq2=na,case=1,label=bg,r_bg=0.6459907030910432,r_np=0.750812647760483
site=windowsupdate.com,rank=7,r_time=0.38889512059381165,r_time_1=0.3075511055420485,r_time_eq2=na,case=1,label=bg,r_bg=0.6459907030910432,r_np=0.750812647760483
site=ctldl.windowsupdate.com,rank=8,r_time=0.6443218486610116,r_time_1=0.48400424974676254,r_time_eq2=na,case=1,label=bg,r_bg=0.6459907030910432,r_np=0.750812647760483
site=safebrowsing.googleapis.com,rank=9,r_time=0.48106389135494315,r_time_1=0.8808157409575437,r_time_eq2=na,case=1,label=bg,r_bg=0.6459907030910432,r_np=0.750812647760483
site=safebrowsing.googleapis.com,rank=9,r_time=0.42311161219104976,r_time_1=0.7325018815106707,r_time_eq2=na,case=1,label=bg,r_bg=0.6459907030910432,r_np=0.750812647760483
site=apple.com,rank=10,r_time=0.5440160853062168,r_time_1=0.5371660347326735,r_time_eq2=na,case=1,label=bg,r_bg=0.6459907030910432,r_np=0.750812647760483
site=netflix.com,rank=11,r_time=0.40185094984756176,r_time_1=0.37283209898822256,r_time_eq2=na,case=1,label=bg,r_bg=0.6459907030910432,r_np=0.750812647760483
